id,northing,easting,elev,code,lat,lon
1,1077935.682,609465.7288,97.65,BR,9.7500217,99.9980146
2,1077918.3171,609455.806,94.47,BR,9.7498649,99.9979236
4,1077921.3688,609450.583,94.75,BR,9.7498927,99.9978761
7,1077915.682,609500.3698,114.85,BR,9.7498399,99.9983298
8,1077898.3171,609490.447,110.48,BR,9.7496831,99.9982389
9,1077934.2243,609468.2535,100.21,TP,9.7500085,99.9980375
10,1077930.855,609474.0893,103.34,TP,9.7499778,99.9980906
11,1077927.5793,609479.763,106.45,TP,9.7499481,99.9981423
12,1077924.7219,609484.7121,109.41,TP,9.7499221,99.9981873
13,1077922.1169,609489.2241,111.52,TP,9.7498984,99.9982284
14,1077919.1149,609494.4238,112.52,TP,9.7498711,99.9982757
15,1077910.2172,609497.2471,114.02,TP,9.7497906,99.9983012
16,1077904.3419,609493.8897,112.32,TP,9.7497375,99.9982704
17,1077901.1511,609485.5383,109.47,TP,9.7497089,99.9981942
18,1077904.3964,609479.9172,107.74,TP,9.7497384,99.9981431
19,1077907.5493,609474.4563,106.56,TP,9.7497671,99.9980934
20,1077910.1475,609469.9562,105.65,TP,9.7497907,99.9980524
21,1077912.9877,609465.0367,103.2,TP,9.7498165,99.9980076
22,1077916.8758,609458.3024,97.32,TP,9.7498518,99.9979463
23,1077930.5622,609462.8032,96.62,TP,9.7499755,99.9979877
24,1077925.0781,609459.6694,95.82,TP,9.749926,99.997959
25,1077926.72,609471.1926,102.85,TP,9.7499405,99.9980641
26,1077920.4697,609467.4897,102.62,TP,9.7498841,99.9980302
27,1077923.0846,609478.024,106.52,TP,9.7499075,99.9981263
28,1077916.0691,609473.2995,105.23,TP,9.7498441,99.998083
29,1077918.4213,609485.56,110.47,TP,9.7498651,99.9981949
30,1077912.2348,609480.6439,108.47,TP,9.7498093,99.9981499
31,1077913.8931,609491.8806,112.54,TP,9.749824,99.9982524
32,1077906.8775,609487.603,109.74,TP,9.7497606,99.9982132
33,1077917.3371,609479.0478,107.45,TP,9.7498555,99.9981355
35,1077927.4365,609454.0503,95.82,TP,9.7499475,99.9979079
39,1077943.2883,609433.4172,91.47,TP,9.7500914,99.9977202
40,1077938.2096,609447.4661,93.65,TP,9.7500451,99.9978481
43,1077929.645,609418.2507,84.62,TP,9.7499684,99.9975816
44,1077936.6204,609413.9139,84.32,TP,9.7500316,99.9975422
45,1077942.3044,609417.1618,85.47,TP,9.7500829,99.997572
46,1077940.8165,609428.0911,89.85,TP,9.7500691,99.9976716
47,1077934.5663,609426.4108,87.62,TP,9.7500127,99.9976561
48,1077938.6909,609438.0855,91.23,TP,9.7500497,99.9977626
49,1077931.0901,609434.0232,90.26,TP,9.749981,99.9977254
50,1077934.7617,609449.1116,93.51,TP,9.7500138,99.997863
51,1077929.1577,609443.3084,92.48,TP,9.7499633,99.99781
52,1077934.3136,609443.0991,92.85,TP,9.7500099,99.9978082
53,1077934.8306,609429.7251,89.62,TP,9.750015,99.9976863
54,1077930.3685,609410.3414,82.47,TP,9.7499751,99.9975095
56,1077937.1971,609423.383,87.84,TP,9.7500365,99.9976286
57,1077923.1993,609462.8577,98.65,TP,9.7499089,99.997988
58,1077928.4948,609465.9183,99.45,TP,9.7499567,99.9980161
59,1077920.2552,609426.4108,85.25,BRK,9.7498832,99.9976557
60,1077921.852,609431.8262,89.41,BRK,9.7498975,99.9977051
61,1077919.4867,609431.4293,87.21,BRK,9.7498762,99.9977014
62,1077922.2892,609417.3249,83.47,TP,9.7499019,99.9975729
63,1077926.4327,609426.4108,86.41,BRK,9.7499391,99.9976559
65,1077916.0613,609435.6764,89.21,TP,9.7498451,99.9977401
66,1077920.0909,609444.8579,92.25,TP,9.7498813,99.9978239
67,1077928.4419,609450.6471,93.74,TP,9.7499566,99.9978769
68,1077940.5327,609420.5391,88.25,TP,9.7500668,99.9976027
69,1077942.6637,609424.0488,89.36,TP,9.750086,99.9976348
70,1077945.8235,609423.4831,90.01,BRK,9.7501145,99.9976297
71,1077942.8499,609420.6717,88.45,SH,9.7500877,99.997604
72,1077918.6397,609428.0788,86.52,TP,9.7498686,99.9976709
73,1077935.5365,609454.8602,95.29,TP,9.7500207,99.9979155
74,1077944.9501,609421.0891,88.75,SH,9.7501067,99.9976079
75,1077931.6631,609429.4794,89.75,SH,9.7499863,99.997684
76,1077928.0537,609429.0603,89.32,SH,9.7499537,99.9976801
77,1077924.3867,609428.8297,88.85,SH,9.7499205,99.9976779
78,1077919.9348,609428.5029,87.87,SH,9.7498803,99.9976748
1172,1077925.5865,609407.6088,80.35,BR,9.749932,99.9974844
1173,1077947.9903,609420.4108,88.32,BR,9.7501342,99.9976018
1174,1077934.3924,609458.0251,96.62,BR,9.7500103,99.9979443
1175,1077912.6863,609445.6218,93.65,BR,9.7498143,99.9978306
